time,cookie,priority,timeout,duration_sec,nw_src,nw_dst,packet_count,byte_count
20150518035500,672706,47471,15,10,10.0.0.4,10.123.123.123,1251,3299286
20150518035500,923297,47471,15,2,10.46.42.3,10.0.0.4,392,26548
20150518035425,330978,47471,15,15,10.46.42.3,10.0.0.1,1226,82948
20150518035409,160827,47471,15,15,10.123.123.123,10.0.0.4,1553,104690
20150518035455,969527,47471,15,15,10.0.0.3,10.46.42.1,1657,4498514
20150518035409,500572,47471,15,15,10.0.0.4,10.123.123.123,1598,4363524
20150518035448,173386,47471,15,15,10.46.42.3,10.0.0.2,1513,101718
20150518035433,975883,47471,15,15,10.46.42.3,10.0.0.4,996,67384
20150518035440,979724,47471,15,15,10.0.0.1,10.0.0.2,1873,5162314
20150518035455,992685,47471,15,15,10.46.42.1,10.0.0.3,1596,107552
20150518035417,207600,47471,15,15,10.0.0.4,10.46.42.3,1487,4088278
20150518035440,116457,47471,15,15,10.0.0.2,10.0.0.1,1828,122976
20150518035432,113207,47471,15,14,10.0.0.4,10.46.42.3,1048,2779552
20150518035447,497369,47471,15,14,10.0.0.2,10.46.42.3,1585,4367906
20150518035417,415643,47471,15,15,10.46.42.3,10.0.0.4,1430,96268
20150518035425,45628,47471,15,15,10.0.0.1,10.46.42.3,1279,3435102
20150518035500,382333,47471,15,2,10.0.0.4,10.46.42.3,413,1090130
20150518035500,778559,47471,15,10,10.123.123.123,10.0.0.4,1191,80682
